 wavelength,Qext,Qscat,Qabs,
 2.85000E-07, 2.20312E-01, 1.37818E-03, 2.18934E-01,
 2.86000E-07, 2.20336E-01, 1.35954E-03, 2.18976E-01,
 2.87000E-07, 2.20367E-01, 1.34129E-03, 2.19026E-01,
 2.88000E-07, 2.20405E-01, 1.32342E-03, 2.19082E-01,
 2.89000E-07, 2.20450E-01, 1.30592E-03, 2.19144E-01,
 2.90000E-07, 2.20501E-01, 1.28877E-03, 2.19212E-01,
 2.91000E-07, 2.20558E-01, 1.27196E-03, 2.19286E-01,
 2.92000E-07, 2.20620E-01, 1.25549E-03, 2.19365E-01,
 2.93000E-07, 2.20689E-01, 1.23934E-03, 2.19450E-01,
 2.94000E-07, 2.20763E-01, 1.22350E-03, 2.19540E-01,
 2.95000E-07, 2.20843E-01, 1.20797E-03, 2.19635E-01,
 2.96000E-07, 2.20928E-01, 1.19274E-03, 2.19735E-01,
 2.97000E-07, 2.21019E-01, 1.17779E-03, 2.19841E-01,
 2.98000E-07, 2.21115E-01, 1.16312E-03, 2.19952E-01,
 2.99000E-07, 2.21216E-01, 1.14874E-03, 2.20068E-01,
 3.00000E-07, 2.21324E-01, 1.13461E-03, 2.20189E-01,
 3.01000E-07, 2.21436E-01, 1.12075E-03, 2.20315E-01,
 3.02000E-07, 2.21554E-01, 1.10715E-03, 2.20447E-01,
 3.03000E-07, 2.21678E-01, 1.09380E-03, 2.20584E-01,
 3.04000E-07, 2.21807E-01, 1.08069E-03, 2.20726E-01,
 3.05000E-07, 2.21942E-01, 1.06781E-03, 2.20874E-01,
 3.06000E-07, 2.22083E-01, 1.05518E-03, 2.21028E-01,
 3.07000E-07, 2.22229E-01, 1.04277E-03, 2.21186E-01,
 3.08000E-07, 2.22381E-01, 1.03058E-03, 2.21350E-01,
 3.09000E-07, 2.22539E-01, 1.01861E-03, 2.21520E-01,
 3.10000E-07, 2.22702E-01, 1.00686E-03, 2.21695E-01,
 3.11000E-07, 2.22872E-01, 9.95322E-04, 2.21877E-01,
 3.12000E-07, 2.23048E-01, 9.83988E-04, 2.22064E-01,
 3.13000E-07, 2.23230E-01, 9.72855E-04, 2.22257E-01,
 3.14000E-07, 2.23418E-01, 9.61920E-04, 2.22456E-01,
 3.15000E-07, 2.23612E-01, 9.51180E-04, 2.22661E-01,
 3.16000E-07, 2.23812E-01, 9.40631E-04, 2.22872E-01,
 3.17000E-07, 2.24019E-01, 9.30269E-04, 2.23089E-01,
 3.18000E-07, 2.24232E-01, 9.20091E-04, 2.23312E-01,
 3.19000E-07, 2.24452E-01, 9.10093E-04, 2.23542E-01,
 3.20000E-07, 2.24678E-01, 9.00273E-04, 2.23778E-01,
 3.21000E-07, 2.24911E-01, 8.90627E-04, 2.24020E-01,
 3.22000E-07, 2.25150E-01, 8.81152E-04, 2.24269E-01,
 3.23000E-07, 2.25397E-01, 8.71845E-04, 2.24525E-01,
 3.24000E-07, 2.25650E-01, 8.62703E-04, 2.24787E-01,
 3.25000E-07, 2.25910E-01, 8.53724E-04, 2.25056E-01,
 3.26000E-07, 2.26177E-01, 8.44904E-04, 2.25332E-01,
